Country,Year,Air_pollution_level,CO2_Emissions,CO2_Emissions%,recycling_rate
Italy,2014,50.4,343.35234512038,11.16,41.6
Italy,2015,50.94,354.02051469637,11.28,44.3
Italy,2016,48.16,349.44707067506,11.11,45.9
Italy,2017,49.38,345.93401110761,10.91,47.8
Italy,2018,46.07,340.60890433641,10.99,49.8
Italy,2019,48.47,332.48773900601,11.24,51.4
Italy,2020,43.64,295.87474755242,11.0,51.4
Italy,2021,43.26,334.27660600605,11.6,51.9
Italy,2022,45.33,332.76576229448,11.86,51.9
Latvia,2013,44.42,7.7774837075236,0.24,25.9
Latvia,2014,47.26,7.5717651612803,0.25,27.0
Latvia,2015,45.63,7.6460892541792,0.24,28.7
Latvia,2016,35.87,7.47848707537,0.24,25.2
Latvia,2017,37.96,7.4302947902044,0.23,24.8
Latvia,2018,37.7,8.1059165463773,0.26,25.2
Latvia,2019,38.94,7.8543714492669,0.27,41.0
Latvia,2020,40.19,7.2227933702529,0.27,39.7
Latvia,2021,43.38,7.4271277544848,0.26,44.1
Latvia,2022,38.53,6.657923880896,0.24,44.1
Lithuania,2013,46.43,13.361426784426,0.42,27.8
Lithuania,2014,51.98,13.208707699582,0.43,30.5
Lithuania,2015,44.88,13.657580589685,0.44,33.2
Lithuania,2016,43.02,13.516494560197,0.43,48.0
Lithuania,2017,38.14,13.960851855922,0.44,48.1
Lithuania,2018,43.85,14.015943464052,0.45,52.6
Lithuania,2019,46.0,14.293896330953,0.48,49.7
Lithuania,2020,36.38,14.251230631931,0.53,45.3
Lithuania,2021,39.15,14.329018790736,0.5,44.3
Lithuania,2022,38.72,13.150136219879,0.47,48.4
Luxembourg,2013,59.17,10.323391128359,0.32,46.3
Luxembourg,2014,49.08,9.8197892855231,0.32,47.7
Luxembourg,2015,56.57,9.309285336282,0.3,47.4
Luxembourg,2016,43.66,9.041289162868,0.29,49.2
Luxembourg,2017,51.7,9.1881867379346,0.29,48.9
Luxembourg,2018,48.18,9.4687650263332,0.31,49.0
Luxembourg,2019,44.68,9.6185867723751,0.33,48.9
Luxembourg,2020,37.2,7.9458758154796,0.3,52.8
Luxembourg,2021,24.48,8.3251641210748,0.29,55.3
Luxembourg,2022,23.18,7.2629599891932,0.26,54.6
Malta,2013,46.92,2.3825662335217,0.07,12.5
Malta,2014,51.9,2.3692575404684,0.08,11.7
Malta,2015,48.92,1.6720868290944,0.05,10.9
Malta,2016,51.98,1.365344096726,0.04,12.7
Malta,2017,45.0,1.5580725843271,0.05,11.5
Malta,2018,48.48,1.5672815013262,0.05,10.4
Malta,2019,48.92,1.6729277704279,0.06,9.1
Malta,2020,44.86,1.6203267425644,0.06,10.9
Malta,2021,48.96,1.6273067542806,0.06,13.6
Malta,2022,41.73,1.759531583994,0.06,12.2
Netherlands,2013,48.34,169.40241059566,5.26,49.8
Netherlands,2014,48.05,161.78844439318,5.26,50.9
Netherlands,2015,53.16,169.41760399426,5.4,51.8
Netherlands,2016,45.8,170.832094273,5.43,53.5
Netherlands,2017,42.8,168.09164485122,5.3,54.6
Netherlands,2018,47.49,163.02085569684,5.26,55.9
Netherlands,2019,51.94,157.86042918036,5.34,56.9
Netherlands,2020,45.91,141.89011388632,5.28,56.9
Netherlands,2021,40.62,146.31474676899,5.08,57.8
Netherlands,2022,45.45,132.97072700347,4.74,57.5
Norway,2013,33.72,46.877239455183,1.46,39.2
Norway,2014,28.82,46.989814533899,1.53,42.2
Norway,2015,26.52,47.953799204897,1.53,42.8
Norway,2016,26.22,47.370664726879,1.51,38.2
Norway,2017,20.51,47.407931215487,1.5,38.8
Norway,2018,22.19,46.953722324538,1.51,40.7
Norway,2019,22.34,45.743487433081,1.55,40.9
Norway,2020,18.44,44.516142738498,1.66,41.0
Norway,2021,18.94,45.101283136412,1.56,36.9
Norway,2022,19.16,44.555942064051,1.59,41.2
Poland,2013,44.85,315.06908881842,9.79,15.1
Poland,2014,46.12,302.5461213623,9.83,26.5
Poland,2015,47.09,305.7471357643,9.74,32.5
Poland,2016,44.41,316.70493000179,10.07,34.8
Poland,2017,43.56,330.19936421039,10.42,33.8
Poland,2018,48.05,329.56444456869,10.63,34.3
Poland,2019,41.02,312.08289687729,10.55,34.1
Poland,2020,36.07,296.88214569655,11.04,38.7
Poland,2021,37.63,323.84973980255,11.24,40.3
Poland,2022,36.87,317.29186581831,11.31,40.9
Portugal,2013,60.26,48.29340177471,1.5,25.8
Portugal,2014,46.12,47.822505835295,1.55,30.4
Portugal,2015,47.61,51.876358002151,1.65,29.8
Portugal,2016,51.75,50.680020285101,1.61,30.9
Portugal,2017,52.14,55.30360061514,1.74,29.1
Portugal,2018,50.06,51.270681217849,1.65,29.1
Portugal,2019,45.16,46.677646745897,1.58,28.9
Portugal,2020,48.37,40.92632334515,1.52,26.8
Portugal,2021,44.05,39.162722176693,1.36,30.4
Portugal,2022,46.79,39.498675757358,1.41,30.4
Romania,2013,42.52,79.519574043831,2.47,13.2
Romania,2014,41.61,78.979138107851,2.57,13.1
Romania,2015,46.48,80.291397332141,2.56,13.3
Romania,2016,48.12,78.694598414174,2.5,13.4
Romania,2017,47.52,81.785580836265,2.58,14.0
Romania,2018,45.27,82.989728937558,2.68,11.1
Romania,2019,41.89,81.152473254796,2.74,11.5
Romania,2020,44.06,75.70399040271,2.82,11.9
Romania,2021,39.98,80.407418267938,2.79,11.3
Romania,2022,46.74,75.981790843776,2.71,12.1
Slovakia,2013,55.2,36.37088323734,1.13,10.8
Slovakia,2014,44.11,33.983767376065,1.1,10.4
Slovakia,2015,55.46,34.511577453071,1.1,14.9
Slovakia,2016,46.45,35.446904132542,1.13,23.0
Slovakia,2017,39.19,37.71888582845,1.19,29.8
Slovakia,2018,39.8,37.210340935852,1.2,36.3
Slovakia,2019,35.83,34.780263542871,1.18,38.5
Slovakia,2020,32.48,32.617188753911,1.21,45.3
Slovakia,2021,33.36,36.618390364131,1.27,48.9
Slovakia,2022,33.91,35.5535618804,1.27,49.5
Slovenia,2013,59.81,15.513949904508,0.48,34.8
Slovenia,2014,56.83,14.130181136918,0.46,36.0
Slovenia,2015,62.97,14.299097919617,0.46,54.1
Slovenia,2016,57.39,15.025187506529,0.48,55.5
Slovenia,2017,63.81,15.348216266839,0.48,57.8
Slovenia,2018,56.99,15.343323731011,0.49,58.9
Slovenia,2019,55.67,14.713599648435,0.5,59.2
Slovenia,2020,36.2,13.421296532745,0.5,59.3
Slovenia,2021,44.27,13.76081504703,0.48,60.8
Slovenia,2022,41.25,13.131904554991,0.47,62.6
Spain,2013,54.28,260.59782908732,8.1,32.5
Spain,2014,50.12,258.01546865043,8.39,30.8
Spain,2015,49.26,275.07859046831,8.77,30.0
Spain,2016,47.03,266.53110569131,8.47,33.9
Spain,2017,48.03,281.69540932774,8.89,36.1
Spain,2018,46.66,275.13006053445,8.88,34.8
